Category,Sub-Category,Product ID,Product Name,Price
Furniture,Bookcases,FUR-BO-3174,"Atlantic Metals Mobile 2-Shelf Bookcases, Custom Colors",280.6466667
Furniture,Bookcases,FUR-BO-3175,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",327.7175
Furniture,Bookcases,FUR-BO-3176,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",379.22375
Furniture,Bookcases,FUR-BO-3177,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",346.7564706
Furniture,Bookcases,FUR-BO-3409,Bestar Classic Bookcase,114.3566667
Furniture,Bookcases,FUR-BO-3615,"Bush 3-Shelf Cabinet, Metal",202.42
Furniture,Bookcases,FUR-BO-3616,"Bush 3-Shelf Cabinet, Mobile",182.14
Furniture,Bookcases,FUR-BO-3617,"Bush 3-Shelf Cabinet, Pine",176.33
Furniture,Bookcases,FUR-BO-3618,"Bush 3-Shelf Cabinet, Traditional",195.17
Furniture,Bookcases,FUR-BO-3621,"Bush Andora Bookcase, Maple/Graphite Gray Finish",158.9311765
Furniture,Bookcases,FUR-BO-3623,"Bush Birmingham Collection Bookcase, Dark Cherry",165.7863492
Furniture,Bookcases,FUR-BO-3624,"Bush Classic Bookcase, Metal",586.9548148
Furniture,Bookcases,FUR-BO-3625,"Bush Classic Bookcase, Mobile",476.2175
Furniture,Bookcases,FUR-BO-3626,"Bush Classic Bookcase, Pine",473.4742308
Furniture,Bookcases,FUR-BO-3627,"Bush Classic Bookcase, Traditional",552.2651852
Furniture,Bookcases,FUR-BO-3628,"Bush Corner Shelving, Metal",149.0166667
Furniture,Bookcases,FUR-BO-3629,"Bush Corner Shelving, Mobile",164.635
Furniture,Bookcases,FUR-BO-3630,"Bush Corner Shelving, Pine",176.468
Furniture,Bookcases,FUR-BO-3631,"Bush Corner Shelving, Traditional",148.87
Furniture,Bookcases,FUR-BO-3632,"Bush Cubix Collection Bookcases, Fully Assembled",252.5133333
Furniture,Bookcases,FUR-BO-3634,"Bush Floating Shelf Set, Metal",199.56
Furniture,Bookcases,FUR-BO-3635,"Bush Floating Shelf Set, Mobile",222.6098925
Furniture,Bookcases,FUR-BO-3636,"Bush Floating Shelf Set, Pine",203.7925
Furniture,Bookcases,FUR-BO-3637,"Bush Floating Shelf Set, Traditional",212.9866667
Furniture,Bookcases,FUR-BO-3638,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",178.4211765
Furniture,Bookcases,FUR-BO-3639,"Bush Library with Doors, Metal",489.92
Furniture,Bookcases,FUR-BO-3640,"Bush Library with Doors, Mobile",480.9733333
Furniture,Bookcases,FUR-BO-3641,"Bush Library with Doors, Pine",529.845
Furniture,Bookcases,FUR-BO-3642,"Bush Library with Doors, Traditional",529.508172
Furniture,Bookcases,FUR-BO-3643,Bush Mission Pointe Library,168.8991176
Furniture,Bookcases,FUR-BO-3644,"Bush Saratoga Collection 5-Shelf Bookcase, Hanover Cherry, *Special Order",156.8270588
Furniture,Bookcases,FUR-BO-3645,Bush Somerset Collection Bookcase,162.9966667
Furniture,Bookcases,FUR-BO-3646,"Bush Stackable Bookrack, Mobile",159.884
Furniture,Bookcases,FUR-BO-3647,"Bush Stackable Bookrack, Pine",162.24
Furniture,Bookcases,FUR-BO-3648,"Bush Stackable Bookrack, Traditional",173.204127
Furniture,Bookcases,FUR-BO-3649,"Bush Westfield Collection Bookcases, Dark Cherry Finish",62.19571429
Furniture,Bookcases,FUR-BO-3650,"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",107.58
Furniture,Bookcases,FUR-BO-3651,"Bush Westfield Collection Bookcases, Fully Assembled",117.1371429
Furniture,Bookcases,FUR-BO-3652,"Bush Westfield Collection Bookcases, Medium Cherry Finish",71.16319328
Furniture,Bookcases,FUR-BO-3885,"Dania 3-Shelf Cabinet, Metal",166.57
Furniture,Bookcases,FUR-BO-3886,"Dania 3-Shelf Cabinet, Mobile",200.92
Furniture,Bookcases,FUR-BO-3887,"Dania 3-Shelf Cabinet, Pine",191.2874552
Furniture,Bookcases,FUR-BO-3888,"Dania 3-Shelf Cabinet, Traditional",165.3240741
Furniture,Bookcases,FUR-BO-3889,"Dania Classic Bookcase, Metal",479.06
Furniture,Bookcases,FUR-BO-3890,"Dania Classic Bookcase, Mobile",480.32
Furniture,Bookcases,FUR-BO-3891,"Dania Classic Bookcase, Pine",547.0766667
Furniture,Bookcases,FUR-BO-3892,"Dania Classic Bookcase, Traditional",484.57
Furniture,Bookcases,FUR-BO-3893,"Dania Corner Shelving, Metal",149.1966667
